layer,ccs_accuracy,lr_accuracy
0,1.0,0.5
1,0.5066666666666667,0.5166666666666667
2,0.5066666666666667,0.4866666666666667
3,0.5,0.58
4,0.52,0.71
5,0.5466666666666666,0.87
6,0.5066666666666667,0.8866666666666667
7,0.54,0.96
8,0.5266666666666666,0.9833333333333333
9,0.5133333333333333,0.9766666666666667
10,0.5266666666666666,0.98
11,0.5066666666666666,0.98
12,0.5,0.98
13,0.5,0.9733333333333334
14,0.5266666666666666,0.97
15,0.5333333333333333,0.97
